epoch,acc,loss,val_acc,val_loss
0,0.8372926092615315,0.3721699394386818,0.9419306184012066,0.18151464722320146
1,0.9445701358365077,0.16307551420517097,0.9645550527903469,0.0945639291927106
2,0.9645550527004455,0.09603279368420936,0.9645550527903469,0.10426915528008301
3,0.9654977374666597,0.09363831033814997,0.9645550527903469,0.09103710190877655
4,0.9753016591251885,0.06790714144852816,0.9751131219022414,0.059283303740247525
5,0.976998491704374,0.06394128466157037,0.9728506787330317,0.06064712671425368
6,0.9824660633484162,0.05431915974426385,0.9773755656108597,0.06394346097419615
7,0.9835972850678733,0.04867457864570065,0.9864253393665159,0.043779781561620185
8,0.9864253393665159,0.03657296479087559,0.9788838612368024,0.050647319040259806
9,0.9888763197586727,0.03316905115055746,0.978129713423831,0.0523100004560942
10,0.9868024132730016,0.04000716253970771,0.9856711915535445,0.0369542087533625
11,0.9918929110105581,0.024202560100175557,0.9871794871794872,0.03160697622826958
12,0.9922699849170438,0.02095366405874672,0.9917043740573153,0.029501883695492042
13,0.9917043739674138,0.02467060048658979,0.9849170437405732,0.04551721724286833
14,0.9888763197586727,0.03399101304349336,0.9856711915535445,0.04664118021872698
15,0.9894419306184012,0.030742734394042907,0.9871794871794872,0.03230253345881579
16,0.9935897435897436,0.01900583019255224,0.9826546003016591,0.05410664803685612
17,0.989253393575257,0.028277956502553624,0.9886877828054299,0.03686407991217205
18,0.9907616892911011,0.02501880991406778,0.9864253393665159,0.050118680107849756
19,0.9937782805429864,0.01774161582323038,0.9901960784313726,0.03909763199088289
